all whole.n.02 object.n.01, no object.n.01 substance.n.04: no whole.n.02 substance.n.04; some whole.n.02 substance.n.04
all motor_vehicle.n.01 instrumentality.n.03, no instrumentality.n.03 fixture.n.01: no motor_vehicle.n.01 fixture.n.01; some motor_vehicle.n.01 fixture.n.01
all economist.n.01 scientist.n.01, no scientist.n.01 blond.n.01: no economist.n.01 blond.n.01; some economist.n.01 blond.n.01
all conveyance.n.03 object.n.01, no object.n.01 substance.n.04: no conveyance.n.03 substance.n.04; some conveyance.n.03 substance.n.04
all female_aristocrat.n.01 leader.n.01, no leader.n.01 self.n.02: no female_aristocrat.n.01 self.n.02; some female_aristocrat.n.01 self.n.02
all solid.n.01 matter.n.03, no matter.n.03 substance.n.04: no solid.n.01 substance.n.04; some solid.n.01 substance.n.04
all system.n.01 object.n.01, no object.n.01 causal_agent.n.01: no system.n.01 causal_agent.n.01; some system.n.01 causal_agent.n.01
all instrumentality.n.03 artifact.n.01, no artifact.n.01 living_thing.n.01: no instrumentality.n.03 living_thing.n.01; some instrumentality.n.03 living_thing.n.01
all house.n.01 structure.n.01, no structure.n.01 excavation.n.03: no house.n.01 excavation.n.03; some house.n.01 excavation.n.03
all bark.n.01 covering.n.01, no covering.n.01 sample.n.03: no bark.n.01 sample.n.03; some bark.n.01 sample.n.03
all microorganism.n.01 whole.n.02, no whole.n.02 wall.n.02: no microorganism.n.01 wall.n.02; some microorganism.n.01 wall.n.02
all message.n.02 communication.n.02, no communication.n.02 psychological_feature.n.01: no message.n.02 psychological_feature.n.01; some message.n.02 psychological_feature.n.01
all architect.n.01 creator.n.02, no creator.n.02 percher.n.01: no architect.n.01 percher.n.01; some architect.n.01 percher.n.01
all instrumentality.n.03 artifact.n.01, no artifact.n.01 congener.n.03: no instrumentality.n.03 congener.n.03; some instrumentality.n.03 congener.n.03
all diversion.n.01 activity.n.01, no activity.n.01 nonaccomplishment.n.01: no diversion.n.01 nonaccomplishment.n.01; some diversion.n.01 nonaccomplishment.n.01
all animal.n.01 organism.n.01, no organism.n.01 life.n.10: no animal.n.01 life.n.10; some animal.n.01 life.n.10
all instrumentality.n.03 object.n.01, no object.n.01 causal_agent.n.01: no instrumentality.n.03 causal_agent.n.01; some instrumentality.n.03 causal_agent.n.01
all hero.n.01 leader.n.01, no leader.n.01 scratcher.n.02: no hero.n.01 scratcher.n.02; some hero.n.01 scratcher.n.02
all saint.n.01 deity.n.01, no deity.n.01 fairy.n.01: no saint.n.01 fairy.n.01; some saint.n.01 fairy.n.01
all greenhouse.n.01 structure.n.01, no structure.n.01 button.n.07: no greenhouse.n.01 button.n.07; some greenhouse.n.01 button.n.07
all biologist.n.01 scientist.n.01, no scientist.n.01 traveler.n.01: no biologist.n.01 traveler.n.01; some biologist.n.01 traveler.n.01
all solvent.n.01 medium.n.07, no medium.n.07 protoplasm.n.01: no solvent.n.01 protoplasm.n.01; some solvent.n.01 protoplasm.n.01
all structure.n.01 artifact.n.01, no artifact.n.01 sum.n.05: no structure.n.01 sum.n.05; some structure.n.01 sum.n.05
all activity.n.01 act.n.02, no act.n.02 migration.n.03: no activity.n.01 migration.n.03; some activity.n.01 migration.n.03
all bird_of_prey.n.01 object.n.01, no object.n.01 causal_agent.n.01: no bird_of_prey.n.01 causal_agent.n.01; some bird_of_prey.n.01 causal_agent.n.01
all organism.n.01 object.n.01, no object.n.01 substance.n.04: no organism.n.01 substance.n.04; some organism.n.01 substance.n.04
all radiance.n.02 property.n.02, no property.n.02 character.n.09: no radiance.n.02 character.n.09; some radiance.n.02 character.n.09
all centrifuge.n.01 object.n.01, no object.n.01 substance.n.04: no centrifuge.n.01 substance.n.04; some centrifuge.n.01 substance.n.04
all art.n.01 artifact.n.01, no artifact.n.01 sum.n.05: no art.n.01 sum.n.05; some art.n.01 sum.n.05
all gas.n.02 matter.n.03, no matter.n.03 substance.n.04: no gas.n.02 substance.n.04; some gas.n.02 substance.n.04
all correctional_institution.n.01 structure.n.01, no structure.n.01 cone.n.01: no correctional_institution.n.01 cone.n.01; some correctional_institution.n.01 cone.n.01
all substance.n.07 matter.n.03, no matter.n.03 causal_agent.n.01: no substance.n.07 causal_agent.n.01; some substance.n.07 causal_agent.n.01
all artifact.n.01 object.n.01, no object.n.01 causal_agent.n.01: no artifact.n.01 causal_agent.n.01; some artifact.n.01 causal_agent.n.01
all compound.n.02 chemical.n.01, no chemical.n.01 particulate.n.01: no compound.n.02 particulate.n.01; some compound.n.02 particulate.n.01
all structure.n.01 whole.n.02, no whole.n.02 geological_formation.n.01: no structure.n.01 geological_formation.n.01; some structure.n.01 geological_formation.n.01
all decoration.n.01 whole.n.02, no whole.n.02 discard.n.01: no decoration.n.01 discard.n.01; some decoration.n.01 discard.n.01
all cavity.n.04 structure.n.04, no structure.n.04 flank.n.04: no cavity.n.04 flank.n.04; some cavity.n.04 flank.n.04
all skilled_worker.n.01 worker.n.01, no worker.n.01 greeter.n.01: no skilled_worker.n.01 greeter.n.01; some skilled_worker.n.01 greeter.n.01
all phytoplankton.n.01 whole.n.02, no whole.n.02 triviality.n.03: no phytoplankton.n.01 triviality.n.03; some phytoplankton.n.01 triviality.n.03
all covering.n.02 object.n.01, no object.n.01 substance.n.04: no covering.n.02 substance.n.04; some covering.n.02 substance.n.04
all sensitivity.n.04 attribute.n.02, no attribute.n.02 psychological_feature.n.01: no sensitivity.n.04 psychological_feature.n.01; some sensitivity.n.04 psychological_feature.n.01
all attendant.n.01 worker.n.01, no worker.n.01 nonperson.n.01: no attendant.n.01 nonperson.n.01; some attendant.n.01 nonperson.n.01
all compound.n.02 chemical.n.01, no chemical.n.01 earth.n.02: no compound.n.02 earth.n.02; some compound.n.02 earth.n.02
all instrument.n.01 instrumentality.n.03, no instrumentality.n.03 restoration.n.05: no instrument.n.01 restoration.n.05; some instrument.n.01 restoration.n.05
all artifact.n.01 object.n.01, no object.n.01 causal_agent.n.01: no artifact.n.01 causal_agent.n.01; some artifact.n.01 causal_agent.n.01
all socialist.n.01 politician.n.02, no politician.n.02 scoutmaster.n.01: no socialist.n.01 scoutmaster.n.01; some socialist.n.01 scoutmaster.n.01
all taxonomic_group.n.01 group.n.01, no group.n.01 otherworld.n.01: no taxonomic_group.n.01 otherworld.n.01; some taxonomic_group.n.01 otherworld.n.01
all artifact.n.01 whole.n.02, no whole.n.02 web.n.01: no artifact.n.01 web.n.01; some artifact.n.01 web.n.01
all geographic_point.n.01 location.n.01, no location.n.01 remains.n.01: no geographic_point.n.01 remains.n.01; some geographic_point.n.01 remains.n.01
all instrumentality.n.03 artifact.n.01, no artifact.n.01 item.n.03: no instrumentality.n.03 item.n.03; some instrumentality.n.03 item.n.03
all lodge.n.05 artifact.n.01, no artifact.n.01 congener.n.03: no lodge.n.05 congener.n.03; some lodge.n.05 congener.n.03
all physical_condition.n.01 condition.n.01, no condition.n.01 omnipotence.n.01: no physical_condition.n.01 omnipotence.n.01; some physical_condition.n.01 omnipotence.n.01
all part.n.02 object.n.01, no object.n.01 substance.n.04: no part.n.02 substance.n.04; some part.n.02 substance.n.04
all plant.n.02 whole.n.02, no whole.n.02 curio.n.01: no plant.n.02 curio.n.01; some plant.n.02 curio.n.01
all housing.n.01 whole.n.02, no whole.n.02 growth.n.07: no housing.n.01 growth.n.07; some housing.n.01 growth.n.07
all illustrator.n.01 artist.n.01, no artist.n.01 maker.n.01: no illustrator.n.01 maker.n.01; some illustrator.n.01 maker.n.01
all social_scientist.n.01 scientist.n.01, no scientist.n.01 celebrant.n.01: no social_scientist.n.01 celebrant.n.01; some social_scientist.n.01 celebrant.n.01
all infestation.n.01 attribute.n.02, no attribute.n.02 psychological_feature.n.01: no infestation.n.01 psychological_feature.n.01; some infestation.n.01 psychological_feature.n.01
all young_mammal.n.01 object.n.01, no object.n.01 substance.n.04: no young_mammal.n.01 substance.n.04; some young_mammal.n.01 substance.n.04
all superior.n.01 leader.n.01, no leader.n.01 signer.n.02: no superior.n.01 signer.n.02; some superior.n.01 signer.n.02
all structure.n.01 artifact.n.01, no artifact.n.01 living_thing.n.01: no structure.n.01 living_thing.n.01; some structure.n.01 living_thing.n.01
all artifact.n.01 whole.n.02, no whole.n.02 draw.n.04: no artifact.n.01 draw.n.04; some artifact.n.01 draw.n.04
all animal_tissue.n.01 thing.n.12, no thing.n.12 substance.n.04: no animal_tissue.n.01 substance.n.04; some animal_tissue.n.01 substance.n.04
all act.n.01 communication.n.02, no communication.n.02 otherworld.n.01: no act.n.01 otherworld.n.01; some act.n.01 otherworld.n.01
all vessel.n.03 container.n.01, no container.n.01 ceramic.n.01: no vessel.n.03 ceramic.n.01; some vessel.n.03 ceramic.n.01
all official.n.01 worker.n.01, no worker.n.01 dieter.n.01: no official.n.01 dieter.n.01; some official.n.01 dieter.n.01
all employee.n.01 worker.n.01, no worker.n.01 delayer.n.01: no employee.n.01 delayer.n.01; some employee.n.01 delayer.n.01
all magnitude.n.01 property.n.02, no property.n.02 time.n.05: no magnitude.n.01 time.n.05; some magnitude.n.01 time.n.05
all whole.n.02 object.n.01, no object.n.01 substance.n.04: no whole.n.02 substance.n.04; some whole.n.02 substance.n.04
all bird.n.01 object.n.01, no object.n.01 substance.n.04: no bird.n.01 substance.n.04; some bird.n.01 substance.n.04
all organic_compound.n.01 chemical.n.01, no chemical.n.01 sorbate.n.01: no organic_compound.n.01 sorbate.n.01; some organic_compound.n.01 sorbate.n.01
all disparagement.n.01 disrespect.n.01, no disrespect.n.01 latent_content.n.01: no disparagement.n.01 latent_content.n.01; some disparagement.n.01 latent_content.n.01
all compound.n.02 chemical.n.01, no chemical.n.01 particulate.n.01: no compound.n.02 particulate.n.01; some compound.n.02 particulate.n.01
all compound.n.02 chemical.n.01, no chemical.n.01 elastomer.n.01: no compound.n.02 elastomer.n.01; some compound.n.02 elastomer.n.01
all recording.n.03 instrumentality.n.03, no instrumentality.n.03 track.n.03: no recording.n.03 track.n.03; some recording.n.03 track.n.03
all whole.n.02 object.n.01, no object.n.01 substance.n.04: no whole.n.02 substance.n.04; some whole.n.02 substance.n.04
all supporting_structure.n.01 artifact.n.01, no artifact.n.01 natural_object.n.01: no supporting_structure.n.01 natural_object.n.01; some supporting_structure.n.01 natural_object.n.01
all industrialist.n.01 businessperson.n.01, no businessperson.n.01 holder.n.03: no industrialist.n.01 holder.n.03; some industrialist.n.01 holder.n.03
all heading.n.01 communication.n.02, no communication.n.02 otherworld.n.01: no heading.n.01 otherworld.n.01; some heading.n.01 otherworld.n.01
all memorial.n.03 whole.n.02, no whole.n.02 paring.n.02: no memorial.n.03 paring.n.02; some memorial.n.03 paring.n.02
all appearance.n.01 attribute.n.02, no attribute.n.02 relation.n.01: no appearance.n.01 relation.n.01; some appearance.n.01 relation.n.01
all building_complex.n.01 whole.n.02, no whole.n.02 moon.n.02: no building_complex.n.01 moon.n.02; some building_complex.n.01 moon.n.02
all vehicle.n.01 object.n.01, no object.n.01 substance.n.04: no vehicle.n.01 substance.n.04; some vehicle.n.01 substance.n.04
all bill.n.07 communication.n.02, no communication.n.02 relation.n.01: no bill.n.07 relation.n.01; some bill.n.07 relation.n.01
all mischief.n.01 activity.n.01, no activity.n.01 inactivity.n.03: no mischief.n.01 inactivity.n.03; some mischief.n.01 inactivity.n.03
