some group.n.01 egyptian.n.01, all egyptian.n.01 african.n.01: some group.n.01 african.n.01; no group.n.01 african.n.01
some matter.n.03 group.n.01, all group.n.01 abstraction.n.06: some matter.n.03 abstraction.n.06; no matter.n.03 abstraction.n.06
some psychologist.n.01 linguist.n.01, all linguist.n.01 scientist.n.01: some psychologist.n.01 scientist.n.01; no psychologist.n.01 scientist.n.01
some workplace.n.01 shop.n.01, all shop.n.01 mercantile_establishment.n.01: some workplace.n.01 mercantile_establishment.n.01; no workplace.n.01 mercantile_establishment.n.01
some dynasty.n.01 royalty.n.02, all royalty.n.02 house.n.06: some dynasty.n.01 house.n.06; no dynasty.n.01 house.n.06
some composer.n.01 conductor.n.01, all conductor.n.01 musician.n.02: some composer.n.01 musician.n.02; no composer.n.01 musician.n.02
some end.v.02 cause.v.01, all cause.v.01 make.v.03: some end.v.02 make.v.03; no end.v.02 make.v.03
some device.n.01 peripheral.n.01, all peripheral.n.01 electronic_equipment.n.01: some device.n.01 electronic_equipment.n.01; no device.n.01 electronic_equipment.n.01
some abolitionist.n.01 writer.n.01, all writer.n.01 communicator.n.01: some abolitionist.n.01 communicator.n.01; no abolitionist.n.01 communicator.n.01
some abnormality.n.01 sensitization.n.01, all sensitization.n.01 sensitivity.n.04: some abnormality.n.01 sensitivity.n.04; no abnormality.n.01 sensitivity.n.04
some inventor.n.01 manufacturer.n.02, all manufacturer.n.02 maker.n.01: some inventor.n.01 maker.n.01; no inventor.n.01 maker.n.01
some woman.n.01 reservist.n.01, all reservist.n.01 soldier.n.01: some woman.n.01 soldier.n.01; no woman.n.01 soldier.n.01
some muslim.n.01 ruler.n.01, all ruler.n.01 person.n.01: some muslim.n.01 person.n.01; no muslim.n.01 person.n.01
some ceremony.n.03 anointing.n.01, all anointing.n.01 application.n.03: some ceremony.n.03 application.n.03; no ceremony.n.03 application.n.03
some priest.n.02 voodoo.n.03, all voodoo.n.03 cult.n.05: some priest.n.02 cult.n.05; no priest.n.02 cult.n.05
some interpret.v.03 sing.v.02, all sing.v.02 talk.v.02: some interpret.v.03 talk.v.02; no interpret.v.03 talk.v.02
some depression.n.04 discontentment.n.01, all discontentment.n.01 longing.n.01: some depression.n.04 longing.n.01; no depression.n.04 longing.n.01
some criminal.n.01 dealer.n.03, all dealer.n.03 seller.n.01: some criminal.n.01 seller.n.01; no criminal.n.01 seller.n.01
some writer.n.01 illustrator.n.01, all illustrator.n.01 artist.n.01: some writer.n.01 artist.n.01; no writer.n.01 artist.n.01
some land.n.04 biome.n.01, all biome.n.01 community.n.06: some land.n.04 community.n.06; no land.n.04 community.n.06
some magnet.n.01 coil.n.06, all coil.n.06 reactor.n.01: some magnet.n.01 reactor.n.01; no magnet.n.01 reactor.n.01
some headman.n.02 onondaga.n.01, all onondaga.n.01 iroquois.n.01: some headman.n.02 iroquois.n.01; no headman.n.02 iroquois.n.01
some press.n.02 publication.n.01, all publication.n.01 work.n.02: some press.n.02 work.n.02; no press.n.02 work.n.02
some financier.n.01 colonizer.n.01, all colonizer.n.01 founder.n.02: some financier.n.01 founder.n.02; no financier.n.01 founder.n.02
some composer.n.01 guitarist.n.01, all guitarist.n.01 musician.n.01: some composer.n.01 musician.n.01; no composer.n.01 musician.n.01
some reflex.n.01 symptom.n.01, all symptom.n.01 evidence.n.01: some reflex.n.01 evidence.n.01; no reflex.n.01 evidence.n.01
some male.n.01 foal.n.01, all foal.n.01 young_mammal.n.01: some male.n.01 young_mammal.n.01; no male.n.01 young_mammal.n.01
some affix.n.01 ending.n.01, all ending.n.01 morpheme.n.01: some affix.n.01 morpheme.n.01; no affix.n.01 morpheme.n.01
some student.n.01 respondent.n.02, all respondent.n.02 communicator.n.01: some student.n.01 communicator.n.01; no student.n.01 communicator.n.01
some object.n.01 part.n.03, all part.n.03 thing.n.12: some object.n.01 thing.n.12; no object.n.01 thing.n.12
some engineer.n.01 industrialist.n.01, all industrialist.n.01 businessman.n.01: some engineer.n.01 businessman.n.01; no engineer.n.01 businessman.n.01
some navigator.n.03 admiral.n.01, all admiral.n.01 flag_officer.n.01: some navigator.n.03 flag_officer.n.01; no navigator.n.03 flag_officer.n.01
some ritual.n.02 wash.n.02, all wash.n.02 work.n.01: some ritual.n.02 work.n.01; no ritual.n.02 work.n.01
some humanist.n.01 theologian.n.01, all theologian.n.01 scholar.n.01: some humanist.n.01 scholar.n.01; no humanist.n.01 scholar.n.01
some physicist.n.01 doctor.n.01, all doctor.n.01 medical_practitioner.n.01: some physicist.n.01 medical_practitioner.n.01; no physicist.n.01 medical_practitioner.n.01
some develop.v.12 restrain.v.01, all restrain.v.01 inhibit.v.04: some develop.v.12 inhibit.v.04; no develop.v.12 inhibit.v.04
some dictator.n.02 nazi.n.01, all nazi.n.01 fascist.n.01: some dictator.n.02 fascist.n.01; no dictator.n.02 fascist.n.01
some engineer.n.01 entrepreneur.n.01, all entrepreneur.n.01 businessperson.n.01: some engineer.n.01 businessperson.n.01; no engineer.n.01 businessperson.n.01
some container.n.01 cutlery.n.02, all cutlery.n.02 tableware.n.01: some container.n.01 tableware.n.01; no container.n.01 tableware.n.01
some stone.n.02 memorial.n.03, all memorial.n.03 structure.n.01: some stone.n.02 structure.n.01; no stone.n.02 structure.n.01
some righteousness.n.01 virtue.n.04, all virtue.n.04 good.n.02: some righteousness.n.01 good.n.02; no righteousness.n.01 good.n.02
some gas.n.02 alkene.n.01, all alkene.n.01 aliphatic_compound.n.01: some gas.n.02 aliphatic_compound.n.01; no gas.n.02 aliphatic_compound.n.01
some dramatist.n.01 poet.n.01, all poet.n.01 writer.n.01: some dramatist.n.01 writer.n.01; no dramatist.n.01 writer.n.01
some collection.n.01 act.n.02, all act.n.02 event.n.01: some collection.n.01 event.n.01; no collection.n.01 event.n.01
some gas.n.02 aldehyde.n.01, all aldehyde.n.01 organic_compound.n.01: some gas.n.02 organic_compound.n.01; no gas.n.02 organic_compound.n.01
some game.n.04 bird.n.01, all bird.n.01 vertebrate.n.01: some game.n.04 vertebrate.n.01; no game.n.04 vertebrate.n.01
some lawyer.n.01 poet.n.01, all poet.n.01 writer.n.01: some lawyer.n.01 writer.n.01; no lawyer.n.01 writer.n.01
some stamp.v.02 date.v.05, all date.v.05 supply.v.01: some stamp.v.02 supply.v.01; no stamp.v.02 supply.v.01
some orator.n.01 statesman.n.01, all statesman.n.01 politician.n.02: some orator.n.01 politician.n.02; no orator.n.01 politician.n.02
some novelist.n.01 poet.n.01, all poet.n.01 writer.n.01: some novelist.n.01 writer.n.01; no novelist.n.01 writer.n.01
some brewery.n.01 restaurant.n.01, all restaurant.n.01 building.n.01: some brewery.n.01 building.n.01; no brewery.n.01 building.n.01
some reformer.n.01 dominican.n.01, all dominican.n.01 friar.n.01: some reformer.n.01 friar.n.01; no reformer.n.01 friar.n.01
some general.n.01 marshal.n.02, all marshal.n.02 commissioned_military_officer.n.01: some general.n.01 commissioned_military_officer.n.01; no general.n.01 commissioned_military_officer.n.01
some force.n.04 agency.n.01, all agency.n.01 administrative_unit.n.01: some force.n.04 administrative_unit.n.01; no force.n.04 administrative_unit.n.01
some general.n.01 traitor.n.01, all traitor.n.01 criminal.n.01: some general.n.01 criminal.n.01; no general.n.01 criminal.n.01
some physicist.n.01 physiologist.n.01, all physiologist.n.01 biologist.n.01: some physicist.n.01 biologist.n.01; no physicist.n.01 biologist.n.01
some logician.n.01 philosopher.n.01, all philosopher.n.01 scholar.n.01: some logician.n.01 scholar.n.01; no logician.n.01 scholar.n.01
some patriot.n.01 soldier.n.01, all soldier.n.01 enlisted_person.n.01: some patriot.n.01 enlisted_person.n.01; no patriot.n.01 enlisted_person.n.01
some fluid.n.02 oxide.n.01, all oxide.n.01 compound.n.02: some fluid.n.02 compound.n.02; no fluid.n.02 compound.n.02
some property.n.02 dance.n.01, all dance.n.01 art.n.01: some property.n.02 art.n.01; no property.n.02 art.n.01
some slave.n.01 insurgent.n.01, all insurgent.n.01 reformer.n.01: some slave.n.01 reformer.n.01; no slave.n.01 reformer.n.01
some genitalia.n.01 hair.n.01, all hair.n.01 body_covering.n.01: some genitalia.n.01 body_covering.n.01; no genitalia.n.01 body_covering.n.01
some physicist.n.01 egyptologist.n.01, all egyptologist.n.01 archeologist.n.01: some physicist.n.01 archeologist.n.01; no physicist.n.01 archeologist.n.01
some steering.n.02 travel.n.01, all travel.n.01 motion.n.06: some steering.n.02 motion.n.06; no steering.n.02 motion.n.06
some politician.n.02 publisher.n.03, all publisher.n.03 owner.n.01: some politician.n.02 owner.n.01; no politician.n.02 owner.n.01
some storm.n.01 rain.n.01, all rain.n.01 precipitation.n.03: some storm.n.01 precipitation.n.03; no storm.n.01 precipitation.n.03
some adult.n.01 lender.n.01, all lender.n.01 investor.n.01: some adult.n.01 investor.n.01; no adult.n.01 investor.n.01
some point.n.02 enclosure.n.01, all enclosure.n.01 area.n.05: some point.n.02 area.n.05; no point.n.02 area.n.05
some message.n.02 idea.n.01, all idea.n.01 content.n.05: some message.n.02 content.n.05; no message.n.02 content.n.05
some shape.v.02 cut.v.01, all cut.v.01 separate.v.02: some shape.v.02 separate.v.02; no shape.v.02 separate.v.02
some consort.n.01 prince.n.01, all prince.n.01 aristocrat.n.01: some consort.n.01 aristocrat.n.01; no consort.n.01 aristocrat.n.01
some figure.n.06 art.n.01, all art.n.01 creation.n.02: some figure.n.06 creation.n.02; no figure.n.06 creation.n.02
some virtue.n.04 benevolence.n.02, all benevolence.n.02 kindness.n.01: some virtue.n.04 kindness.n.01; no virtue.n.04 kindness.n.01
some poet.n.01 cartoonist.n.01, all cartoonist.n.01 draftsman.n.02: some poet.n.01 draftsman.n.02; no poet.n.01 draftsman.n.02
some beverage.n.01 foodstuff.n.02, all foodstuff.n.02 food.n.01: some beverage.n.01 food.n.01; no beverage.n.01 food.n.01
some producer.n.02 writer.n.01, all writer.n.01 communicator.n.01: some producer.n.02 communicator.n.01; no producer.n.02 communicator.n.01
some young.n.01 deer.n.01, all deer.n.01 ruminant.n.01: some young.n.01 ruminant.n.01; no young.n.01 ruminant.n.01
some communication.n.02 oeuvre.n.01, all oeuvre.n.01 end_product.n.01: some communication.n.02 end_product.n.01; no communication.n.02 end_product.n.01
some architect.n.01 sculptor.n.01, all sculptor.n.01 artist.n.01: some architect.n.01 artist.n.01; no architect.n.01 artist.n.01
some mutilation.n.01 torture.n.05, all torture.n.05 persecution.n.01: some mutilation.n.01 persecution.n.01; no mutilation.n.01 persecution.n.01
some leader.n.01 catholic.n.01, all catholic.n.01 christian.n.01: some leader.n.01 christian.n.01; no leader.n.01 christian.n.01
some covering.n.01 system.n.06, all system.n.06 body_part.n.01: some covering.n.01 body_part.n.01; no covering.n.01 body_part.n.01
some whole.n.02 food.n.02, all food.n.02 solid.n.01: some whole.n.02 solid.n.01; no whole.n.02 solid.n.01
some suffragist.n.01 doctor.n.01, all doctor.n.01 medical_practitioner.n.01: some suffragist.n.01 medical_practitioner.n.01; no suffragist.n.01 medical_practitioner.n.01
some male.n.01 horse.n.01, all horse.n.01 equine.n.01: some male.n.01 equine.n.01; no male.n.01 equine.n.01
some game.n.01 gambling.n.01, all gambling.n.01 diversion.n.01: some game.n.01 diversion.n.01; no game.n.01 diversion.n.01
some monk.n.01 saint.n.01, all saint.n.01 deity.n.01: some monk.n.01 deity.n.01; no monk.n.01 deity.n.01
some settler.n.01 prospector.n.01, all prospector.n.01 miner.n.01: some settler.n.01 miner.n.01; no settler.n.01 miner.n.01
some jumper.n.02 sprinter.n.01, all sprinter.n.01 runner.n.06: some jumper.n.02 runner.n.06; no jumper.n.02 runner.n.06
some molecule.n.01 compound.n.02, all compound.n.02 chemical.n.01: some molecule.n.01 chemical.n.01; no molecule.n.01 chemical.n.01
some fluid.n.02 instrument.n.01, all instrument.n.01 device.n.01: some fluid.n.02 device.n.01; no fluid.n.02 device.n.01
some negligence.n.01 wrongdoing.n.02, all wrongdoing.n.02 activity.n.01: some negligence.n.01 activity.n.01; no negligence.n.01 activity.n.01
some liquid.n.03 compound.n.02, all compound.n.02 chemical.n.01: some liquid.n.03 chemical.n.01; no liquid.n.03 chemical.n.01
some clergyman.n.01 poet.n.01, all poet.n.01 writer.n.01: some clergyman.n.01 writer.n.01; no clergyman.n.01 writer.n.01
some roller.n.04 wheel.n.01, all wheel.n.01 machine.n.04: some roller.n.04 machine.n.04; no roller.n.04 machine.n.04
some measure.n.02 property.n.02, all property.n.02 attribute.n.02: some measure.n.02 attribute.n.02; no measure.n.02 attribute.n.02
some material.n.01 coating.n.01, all coating.n.01 covering.n.02: some material.n.01 covering.n.02; no material.n.01 covering.n.02
some reformer.n.01 singer.n.01, all singer.n.01 musician.n.01: some reformer.n.01 musician.n.01; no reformer.n.01 musician.n.01
some jail.n.01 prison.n.01, all prison.n.01 correctional_institution.n.01: some jail.n.01 correctional_institution.n.01; no jail.n.01 correctional_institution.n.01
