some-not layer.n.01 device.n.01, all brass.n.02 device.n.01: some-not layer.n.01 brass.n.02; all layer.n.01 brass.n.02
some-not inhibitor.n.01 food.n.01, all foodstuff.n.02 food.n.01: some-not inhibitor.n.01 foodstuff.n.02; all inhibitor.n.01 foodstuff.n.02
some-not mineral.n.01 compound.n.02, all alkene.n.01 compound.n.02: some-not mineral.n.01 alkene.n.01; all mineral.n.01 alkene.n.01
some-not collection.n.01 act.n.02, all diversion.n.01 act.n.02: some-not collection.n.01 diversion.n.01; all collection.n.01 diversion.n.01
some-not matter.n.03 group.n.01, all administrative_unit.n.01 group.n.01: some-not matter.n.03 administrative_unit.n.01; all matter.n.03 administrative_unit.n.01
some-not component.n.03 instrumentality.n.03, all applicator.n.01 instrumentality.n.03: some-not component.n.03 applicator.n.01; all component.n.03 applicator.n.01
some-not object.n.01 attribute.n.02, all unclearness.n.01 attribute.n.02: some-not object.n.01 unclearness.n.01; all object.n.01 unclearness.n.01
some-not material.n.01 drug.n.01, all panacea.n.02 drug.n.01: some-not material.n.01 panacea.n.02; all material.n.01 panacea.n.02
some-not music.n.01 writing.n.02, all legal_document.n.01 writing.n.02: some-not music.n.01 legal_document.n.01; all music.n.01 legal_document.n.01
some-not component.n.03 instrumentality.n.03, all container.n.01 instrumentality.n.03: some-not component.n.03 container.n.01; all component.n.03 container.n.01
some-not deity.n.01 scholar.n.01, all existentialist.n.01 scholar.n.01: some-not deity.n.01 existentialist.n.01; all deity.n.01 existentialist.n.01
some-not inhibitor.n.01 food.n.01, all nutriment.n.01 food.n.01: some-not inhibitor.n.01 nutriment.n.01; all inhibitor.n.01 nutriment.n.01
some-not fluid.n.02 chemical.n.01, all lye.n.01 chemical.n.01: some-not fluid.n.02 lye.n.01; all fluid.n.02 lye.n.01
some-not molecule.n.01 compound.n.02, all neurochemical.n.01 compound.n.02: some-not molecule.n.01 neurochemical.n.01; all molecule.n.01 neurochemical.n.01
some-not judge.n.01 politician.n.02, all socialist.n.01 politician.n.02: some-not judge.n.01 socialist.n.01; all judge.n.01 socialist.n.01
some-not substance.n.01 food.n.01, all fare.n.04 food.n.01: some-not substance.n.01 fare.n.04; all substance.n.01 fare.n.04
some-not part.n.02 artifact.n.01, all applicator.n.01 artifact.n.01: some-not part.n.02 applicator.n.01; all part.n.02 applicator.n.01
some-not group.n.01 instrumentality.n.03, all wheeled_vehicle.n.01 instrumentality.n.03: some-not group.n.01 wheeled_vehicle.n.01; all group.n.01 wheeled_vehicle.n.01
some-not fluid.n.02 oxide.n.01, all chert.n.01 oxide.n.01: some-not fluid.n.02 chert.n.01; all fluid.n.02 chert.n.01
some-not component.n.03 instrumentality.n.03, all conductor.n.04 instrumentality.n.03: some-not component.n.03 conductor.n.04; all component.n.03 conductor.n.04
some-not strip.n.02 instrumentality.n.03, all press.n.02 instrumentality.n.03: some-not strip.n.02 press.n.02; all strip.n.02 press.n.02
some-not object.n.01 attribute.n.02, all condition.n.01 attribute.n.02: some-not object.n.01 condition.n.01; all object.n.01 condition.n.01
some-not object.n.01 attribute.n.02, all tactile_property.n.01 attribute.n.02: some-not object.n.01 tactile_property.n.01; all object.n.01 tactile_property.n.01
some-not strip.n.02 instrumentality.n.03, all regalia.n.01 instrumentality.n.03: some-not strip.n.02 regalia.n.01; all strip.n.02 regalia.n.01
some-not gas.n.02 compound.n.02, all oxide.n.01 compound.n.02: some-not gas.n.02 oxide.n.01; all gas.n.02 oxide.n.01
some-not antioxidant.n.01 chemical.n.01, all organic_compound.n.01 chemical.n.01: some-not antioxidant.n.01 organic_compound.n.01; all antioxidant.n.01 organic_compound.n.01
some-not strip.n.02 instrumentality.n.03, all pen.n.01 instrumentality.n.03: some-not strip.n.02 pen.n.01; all strip.n.02 pen.n.01
some-not part.n.02 artifact.n.01, all emblem.n.01 artifact.n.01: some-not part.n.02 emblem.n.01; all part.n.02 emblem.n.01
some-not unit.n.05 chemical.n.01, all chert.n.01 chemical.n.01: some-not unit.n.05 chert.n.01; all unit.n.05 chert.n.01
some-not component.n.03 instrumentality.n.03, all device.n.01 instrumentality.n.03: some-not component.n.03 device.n.01; all component.n.03 device.n.01
some-not part.n.02 artifact.n.01, all board.n.03 artifact.n.01: some-not part.n.02 board.n.03; all part.n.02 board.n.03
some-not game.n.04 bird.n.01, all bird_of_prey.n.01 bird.n.01: some-not game.n.04 bird_of_prey.n.01; all game.n.04 bird_of_prey.n.01
some-not unit.n.05 chemical.n.01, all compound.n.02 chemical.n.01: some-not unit.n.05 compound.n.02; all unit.n.05 compound.n.02
some-not gas.n.02 compound.n.02, all alkaloid.n.01 compound.n.02: some-not gas.n.02 alkaloid.n.01; all gas.n.02 alkaloid.n.01
some-not strip.n.02 instrumentality.n.03, all hand_tool.n.01 instrumentality.n.03: some-not strip.n.02 hand_tool.n.01; all strip.n.02 hand_tool.n.01
some-not strip.n.02 instrumentality.n.03, all lamp.n.01 instrumentality.n.03: some-not strip.n.02 lamp.n.01; all strip.n.02 lamp.n.01
some-not general.n.01 representative.n.01, all agent.n.02 representative.n.01: some-not general.n.01 agent.n.02; all general.n.01 agent.n.02
some-not physicist.n.01 doctor.n.01, all analyst.n.03 doctor.n.01: some-not physicist.n.01 analyst.n.03; all physicist.n.01 analyst.n.03
some-not cell.n.02 organism.n.01, all dog.n.01 organism.n.01: some-not cell.n.02 dog.n.01; all cell.n.02 dog.n.01
some-not part.n.02 artifact.n.01, all airplane.n.01 artifact.n.01: some-not part.n.02 airplane.n.01; all part.n.02 airplane.n.01
some-not gas.n.02 compound.n.02, all lye.n.01 compound.n.02: some-not gas.n.02 lye.n.01; all gas.n.02 lye.n.01
some-not creator.n.02 businessperson.n.01, all distributor.n.01 businessperson.n.01: some-not creator.n.02 distributor.n.01; all creator.n.02 distributor.n.01
some-not scientist.n.01 doctor.n.01, all psychiatrist.n.01 doctor.n.01: some-not scientist.n.01 psychiatrist.n.01; all scientist.n.01 psychiatrist.n.01
some-not unit.n.05 chemical.n.01, all alkaloid.n.01 chemical.n.01: some-not unit.n.05 alkaloid.n.01; all unit.n.05 alkaloid.n.01
some-not part.n.02 artifact.n.01, all furnishing.n.02 artifact.n.01: some-not part.n.02 furnishing.n.02; all part.n.02 furnishing.n.02
some-not part.n.02 artifact.n.01, all stone.n.02 artifact.n.01: some-not part.n.02 stone.n.02; all part.n.02 stone.n.02
some-not object.n.01 attribute.n.02, all sexual_pleasure.n.01 attribute.n.02: some-not object.n.01 sexual_pleasure.n.01; all object.n.01 sexual_pleasure.n.01
some-not fluid.n.02 chemical.n.01, all oxide.n.01 chemical.n.01: some-not fluid.n.02 oxide.n.01; all fluid.n.02 oxide.n.01
some-not headman.n.02 indian.n.01, all apache.n.01 indian.n.01: some-not headman.n.02 apache.n.01; all headman.n.02 apache.n.01
some-not device.n.01 implement.n.01, all bar.n.03 implement.n.01: some-not device.n.01 bar.n.03; all device.n.01 bar.n.03
some-not muslim.n.01 doctor.n.01, all specialist.n.02 doctor.n.01: some-not muslim.n.01 specialist.n.02; all muslim.n.01 specialist.n.02
some-not strip.n.02 instrumentality.n.03, all centrifuge.n.01 instrumentality.n.03: some-not strip.n.02 centrifuge.n.01; all strip.n.02 centrifuge.n.01
some-not group.n.01 instrumentality.n.03, all conductor.n.04 instrumentality.n.03: some-not group.n.01 conductor.n.04; all group.n.01 conductor.n.04
some-not part.n.02 artifact.n.01, all jersey.n.03 artifact.n.01: some-not part.n.02 jersey.n.03; all part.n.02 jersey.n.03
some-not poison.n.01 compound.n.02, all synthetic_resin.n.01 compound.n.02: some-not poison.n.01 synthetic_resin.n.01; all poison.n.01 synthetic_resin.n.01
some-not ruler.n.01 representative.n.01, all secret_agent.n.01 representative.n.01: some-not ruler.n.01 secret_agent.n.01; all ruler.n.01 secret_agent.n.01
some-not building.n.01 establishment.n.04, all place_of_business.n.01 establishment.n.04: some-not building.n.01 place_of_business.n.01; all building.n.01 place_of_business.n.01
some-not communicator.n.01 employee.n.01, all lumberman.n.01 employee.n.01: some-not communicator.n.01 lumberman.n.01; all communicator.n.01 lumberman.n.01
some-not collection.n.01 act.n.02, all operation.n.06 act.n.02: some-not collection.n.01 operation.n.06; all collection.n.01 operation.n.06
some-not activity.n.01 change.n.03, all homicide.n.01 change.n.03: some-not activity.n.01 homicide.n.01; all activity.n.01 homicide.n.01
some-not commodity.n.01 covering.n.02, all shelter.n.02 covering.n.02: some-not commodity.n.01 shelter.n.02; all commodity.n.01 shelter.n.02
some-not feminist.n.01 writer.n.01, all scriptwriter.n.01 writer.n.01: some-not feminist.n.01 scriptwriter.n.01; all feminist.n.01 scriptwriter.n.01
some-not physicist.n.01 doctor.n.01, all specialist.n.02 doctor.n.01: some-not physicist.n.01 specialist.n.02; all physicist.n.01 specialist.n.02
some-not part.n.02 artifact.n.01, all device.n.01 artifact.n.01: some-not part.n.02 device.n.01; all part.n.02 device.n.01
some-not process.n.06 illness.n.01, all tumor.n.01 illness.n.01: some-not process.n.06 tumor.n.01; all process.n.06 tumor.n.01
some-not unit.n.05 chemical.n.01, all neurochemical.n.01 chemical.n.01: some-not unit.n.05 neurochemical.n.01; all unit.n.05 neurochemical.n.01
some-not activity.n.01 discipline.n.01, all neurobiology.n.01 discipline.n.01: some-not activity.n.01 neurobiology.n.01; all activity.n.01 neurobiology.n.01
some-not medium.n.07 compound.n.02, all aldehyde.n.01 compound.n.02: some-not medium.n.07 aldehyde.n.01; all medium.n.07 aldehyde.n.01
some-not asian.n.01 european.n.01, all englishman.n.01 european.n.01: some-not asian.n.01 englishman.n.01; all asian.n.01 englishman.n.01
some-not cell.n.02 organism.n.01, all mammal.n.01 organism.n.01: some-not cell.n.02 mammal.n.01; all cell.n.02 mammal.n.01
some-not strip.n.02 instrumentality.n.03, all fastener.n.02 instrumentality.n.03: some-not strip.n.02 fastener.n.02; all strip.n.02 fastener.n.02
some-not collection.n.01 act.n.02, all sport.n.02 act.n.02: some-not collection.n.01 sport.n.02; all collection.n.01 sport.n.02
some-not creator.n.02 businessperson.n.01, all peddler.n.01 businessperson.n.01: some-not creator.n.02 peddler.n.01; all creator.n.02 peddler.n.01
some-not matter.n.03 group.n.01, all kin.n.02 group.n.01: some-not matter.n.03 kin.n.02; all matter.n.03 kin.n.02
some-not producer.n.02 writer.n.01, all screenwriter.n.01 writer.n.01: some-not producer.n.02 screenwriter.n.01; all producer.n.02 screenwriter.n.01
some-not cap.n.04 container.n.01, all tank.n.02 container.n.01: some-not cap.n.04 tank.n.02; all cap.n.04 tank.n.02
some-not object.n.01 attribute.n.02, all compassion.n.01 attribute.n.02: some-not object.n.01 compassion.n.01; all object.n.01 compassion.n.01
some-not land.n.02 location.n.01, all state.n.01 location.n.01: some-not land.n.02 state.n.01; all land.n.02 state.n.01
some-not creator.n.02 businessperson.n.01, all seller.n.01 businessperson.n.01: some-not creator.n.02 seller.n.01; all creator.n.02 seller.n.01
some-not beverage.n.01 drug.n.01, all remedy.n.02 drug.n.01: some-not beverage.n.01 remedy.n.02; all beverage.n.01 remedy.n.02
some-not discipline.n.01 diversion.n.01, all entertainment.n.01 diversion.n.01: some-not discipline.n.01 entertainment.n.01; all discipline.n.01 entertainment.n.01
some-not object.n.01 part.n.03, all animal_tissue.n.01 part.n.03: some-not object.n.01 animal_tissue.n.01; all object.n.01 animal_tissue.n.01
some-not collection.n.01 act.n.02, all vice.n.02 act.n.02: some-not collection.n.01 vice.n.02; all collection.n.01 vice.n.02
some-not part.n.02 artifact.n.01, all mechanism.n.05 artifact.n.01: some-not part.n.02 mechanism.n.05; all part.n.02 mechanism.n.05
some-not activity.n.01 change.n.03, all beautification.n.01 change.n.03: some-not activity.n.01 beautification.n.01; all activity.n.01 beautification.n.01
some-not activity.n.01 change.n.03, all pilgrimage.n.01 change.n.03: some-not activity.n.01 pilgrimage.n.01; all activity.n.01 pilgrimage.n.01
some-not equipment.n.01 device.n.01, all reactor.n.01 device.n.01: some-not equipment.n.01 reactor.n.01; all equipment.n.01 reactor.n.01
some-not cell.n.02 organism.n.01, all animal.n.01 organism.n.01: some-not cell.n.02 animal.n.01; all cell.n.02 animal.n.01
some-not catalyst.n.01 protein.n.01, all albumin.n.01 protein.n.01: some-not catalyst.n.01 albumin.n.01; all catalyst.n.01 albumin.n.01
some-not antioxidant.n.01 chemical.n.01, all compound.n.02 chemical.n.01: some-not antioxidant.n.01 compound.n.02; all antioxidant.n.01 compound.n.02
some-not group.n.01 instrumentality.n.03, all recording.n.03 instrumentality.n.03: some-not group.n.01 recording.n.03; all group.n.01 recording.n.03
some-not gas.n.02 compound.n.02, all aliphatic_compound.n.01 compound.n.02: some-not gas.n.02 aliphatic_compound.n.01; all gas.n.02 aliphatic_compound.n.01
some-not beverage.n.01 foodstuff.n.02, all ingredient.n.03 foodstuff.n.02: some-not beverage.n.01 ingredient.n.03; all beverage.n.01 ingredient.n.03
some-not material.n.01 covering.n.01, all hair.n.01 covering.n.01: some-not material.n.01 hair.n.01; all material.n.01 hair.n.01
some-not variety.n.03 plant.n.02, all climber.n.01 plant.n.02: some-not variety.n.03 climber.n.01; all variety.n.03 climber.n.01
some-not strip.n.02 instrumentality.n.03, all brace.n.09 instrumentality.n.03: some-not strip.n.02 brace.n.09; all strip.n.02 brace.n.09
some-not object.n.01 attribute.n.02, all loop.n.02 attribute.n.02: some-not object.n.01 loop.n.02; all object.n.01 loop.n.02
some-not muslim.n.01 doctor.n.01, all psychiatrist.n.01 doctor.n.01: some-not muslim.n.01 psychiatrist.n.01; all muslim.n.01 psychiatrist.n.01
some-not substance.n.01 food.n.01, all starches.n.01 food.n.01: some-not substance.n.01 starches.n.01; all substance.n.01 starches.n.01
some-not collection.n.01 act.n.02, all speech_act.n.01 act.n.02: some-not collection.n.01 speech_act.n.01; all collection.n.01 speech_act.n.01
