all space.n.01 attribute.n.02, all attribute.n.02 entity.n.01: all space.n.01 entity.n.01; some-not space.n.01 entity.n.01
all conductor.n.04 artifact.n.01, all artifact.n.01 entity.n.01: all conductor.n.04 entity.n.01; some-not conductor.n.04 entity.n.01
all type.n.04 communication.n.02, all communication.n.02 entity.n.01: all type.n.04 entity.n.01; some-not type.n.04 entity.n.01
all believer.n.02 religious_person.n.01, all religious_person.n.01 entity.n.01: all believer.n.02 entity.n.01; some-not believer.n.02 entity.n.01
all process.n.04 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: all process.n.04 entity.n.01; some-not process.n.04 entity.n.01
all publication.n.01 work.n.02, all work.n.02 object.n.01: all publication.n.01 object.n.01; some-not publication.n.01 object.n.01
all artist.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all artist.n.01 entity.n.01; some-not artist.n.01 entity.n.01
all set.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: all set.n.02 entity.n.01; some-not set.n.02 entity.n.01
all sleeping.n.03 process.n.06, all process.n.06 physical_entity.n.01: all sleeping.n.03 physical_entity.n.01; some-not sleeping.n.03 physical_entity.n.01
all activity.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all activity.n.01 entity.n.01; some-not activity.n.01 entity.n.01
all material.n.01 substance.n.01, all substance.n.01 entity.n.01: all material.n.01 entity.n.01; some-not material.n.01 entity.n.01
all definite_quantity.n.01 measure.n.02, all measure.n.02 abstraction.n.06: all definite_quantity.n.01 abstraction.n.06; some-not definite_quantity.n.01 abstraction.n.06
all lever.n.01 implement.n.01, all implement.n.01 artifact.n.01: all lever.n.01 artifact.n.01; some-not lever.n.01 artifact.n.01
all holder.n.02 person.n.01, all person.n.01 entity.n.01: all holder.n.02 entity.n.01; some-not holder.n.02 entity.n.01
all officer.n.04 mariner.n.01, all mariner.n.01 worker.n.01: all officer.n.04 worker.n.01; some-not officer.n.04 worker.n.01
all play.n.17 action.n.01, all action.n.01 psychological_feature.n.01: all play.n.17 psychological_feature.n.01; some-not play.n.17 psychological_feature.n.01
all people.n.01 group.n.01, all group.n.01 abstraction.n.06: all people.n.01 abstraction.n.06; some-not people.n.01 abstraction.n.06
all fabric.n.01 object.n.01, all object.n.01 physical_entity.n.01: all fabric.n.01 physical_entity.n.01; some-not fabric.n.01 physical_entity.n.01
all travel.n.01 motion.n.06, all motion.n.06 act.n.02: all travel.n.01 act.n.02; some-not travel.n.01 act.n.02
all geographic_point.n.01 point.n.02, all point.n.02 physical_entity.n.01: all geographic_point.n.01 physical_entity.n.01; some-not geographic_point.n.01 physical_entity.n.01
all group_action.n.01 event.n.01, all event.n.01 psychological_feature.n.01: all group_action.n.01 psychological_feature.n.01; some-not group_action.n.01 psychological_feature.n.01
all leader.n.01 person.n.01, all person.n.01 entity.n.01: all leader.n.01 entity.n.01; some-not leader.n.01 entity.n.01
all religious.n.01 person.n.01, all person.n.01 physical_entity.n.01: all religious.n.01 physical_entity.n.01; some-not religious.n.01 physical_entity.n.01
all garment.n.01 clothing.n.01, all clothing.n.01 physical_entity.n.01: all garment.n.01 physical_entity.n.01; some-not garment.n.01 physical_entity.n.01
all natural_science.n.01 discipline.n.01, all discipline.n.01 content.n.05: all natural_science.n.01 content.n.05; some-not natural_science.n.01 content.n.05
all instrumentality.n.03 whole.n.02, all whole.n.02 entity.n.01: all instrumentality.n.03 entity.n.01; some-not instrumentality.n.03 entity.n.01
all shame.n.01 state.n.02, all state.n.02 attribute.n.02: all shame.n.01 attribute.n.02; some-not shame.n.01 attribute.n.02
all engraver.n.01 worker.n.01, all worker.n.01 person.n.01: all engraver.n.01 person.n.01; some-not engraver.n.01 person.n.01
all cut.v.01 separate.v.02, all separate.v.02 move.v.02: all cut.v.01 move.v.02; some-not cut.v.01 move.v.02
all potion.n.01 beverage.n.01, all beverage.n.01 entity.n.01: all potion.n.01 entity.n.01; some-not potion.n.01 entity.n.01
all musician.n.02 person.n.01, all person.n.01 physical_entity.n.01: all musician.n.02 physical_entity.n.01; some-not musician.n.02 physical_entity.n.01
all instrumentality.n.03 object.n.01, all object.n.01 entity.n.01: all instrumentality.n.03 entity.n.01; some-not instrumentality.n.03 entity.n.01
all warplane.n.01 vehicle.n.01, all vehicle.n.01 whole.n.02: all warplane.n.01 whole.n.02; some-not warplane.n.01 whole.n.02
all relation.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all relation.n.01 entity.n.01; some-not relation.n.01 entity.n.01
all lady.n.03 female_aristocrat.n.01, all female_aristocrat.n.01 leader.n.01: all lady.n.03 leader.n.01; some-not lady.n.03 leader.n.01
all atmospheric_phenomenon.n.01 physical_phenomenon.n.01, all physical_phenomenon.n.01 natural_phenomenon.n.01: all atmospheric_phenomenon.n.01 natural_phenomenon.n.01; some-not atmospheric_phenomenon.n.01 natural_phenomenon.n.01
all texture.n.01 attribute.n.02, all attribute.n.02 abstraction.n.06: all texture.n.01 abstraction.n.06; some-not texture.n.01 abstraction.n.06
all whole.n.02 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all whole.n.02 entity.n.01; some-not whole.n.02 entity.n.01
all instrumentality.n.03 artifact.n.01, all artifact.n.01 whole.n.02: all instrumentality.n.03 whole.n.02; some-not instrumentality.n.03 whole.n.02
all message.n.02 communication.n.02, all communication.n.02 abstraction.n.06: all message.n.02 abstraction.n.06; some-not message.n.02 abstraction.n.06
all tool.n.01 instrumentality.n.03, all instrumentality.n.03 artifact.n.01: all tool.n.01 artifact.n.01; some-not tool.n.01 artifact.n.01
all maker.n.01 person.n.01, all person.n.01 entity.n.01: all maker.n.01 entity.n.01; some-not maker.n.01 entity.n.01
all philologist.n.01 humanist.n.01, all humanist.n.01 physical_entity.n.01: all philologist.n.01 physical_entity.n.01; some-not philologist.n.01 physical_entity.n.01
all victim.n.01 person.n.01, all person.n.01 physical_entity.n.01: all victim.n.01 physical_entity.n.01; some-not victim.n.01 physical_entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all person.n.01 entity.n.01; some-not person.n.01 entity.n.01
all symptom.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all symptom.n.01 entity.n.01; some-not symptom.n.01 entity.n.01
all artifact.n.01 whole.n.02, all whole.n.02 object.n.01: all artifact.n.01 object.n.01; some-not artifact.n.01 object.n.01
all discontentment.n.01 feeling.n.01, all feeling.n.01 abstraction.n.06: all discontentment.n.01 abstraction.n.06; some-not discontentment.n.01 abstraction.n.06
all man.n.01 person.n.01, all person.n.01 physical_entity.n.01: all man.n.01 physical_entity.n.01; some-not man.n.01 physical_entity.n.01
all drug.n.01 agent.n.03, all agent.n.03 physical_entity.n.01: all drug.n.01 physical_entity.n.01; some-not drug.n.01 physical_entity.n.01
all supporting_structure.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: all supporting_structure.n.01 physical_entity.n.01; some-not supporting_structure.n.01 physical_entity.n.01
all dislike.n.02 feeling.n.01, all feeling.n.01 entity.n.01: all dislike.n.02 entity.n.01; some-not dislike.n.02 entity.n.01
all reaction.n.03 bodily_process.n.01, all bodily_process.n.01 physical_entity.n.01: all reaction.n.03 physical_entity.n.01; some-not reaction.n.03 physical_entity.n.01
all substance.n.07 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all substance.n.07 entity.n.01; some-not substance.n.07 entity.n.01
all promontory.n.01 geological_formation.n.01, all geological_formation.n.01 object.n.01: all promontory.n.01 object.n.01; some-not promontory.n.01 object.n.01
all philosopher.n.01 intellectual.n.01, all intellectual.n.01 physical_entity.n.01: all philosopher.n.01 physical_entity.n.01; some-not philosopher.n.01 physical_entity.n.01
all fiber.n.01 material.n.01, all material.n.01 substance.n.01: all fiber.n.01 substance.n.01; some-not fiber.n.01 substance.n.01
all evidence.n.02 indication.n.01, all indication.n.01 communication.n.02: all evidence.n.02 communication.n.02; some-not evidence.n.02 communication.n.02
all change.n.03 act.n.02, all act.n.02 entity.n.01: all change.n.03 entity.n.01; some-not change.n.03 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all person.n.01 entity.n.01; some-not person.n.01 entity.n.01
all part.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all part.n.01 entity.n.01; some-not part.n.01 entity.n.01
all organic_process.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all organic_process.n.01 entity.n.01; some-not organic_process.n.01 entity.n.01
all cutlery.n.02 artifact.n.01, all artifact.n.01 object.n.01: all cutlery.n.02 object.n.01; some-not cutlery.n.02 object.n.01
all phase_change.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all phase_change.n.01 entity.n.01; some-not phase_change.n.01 entity.n.01
all scientist.n.01 person.n.01, all person.n.01 entity.n.01: all scientist.n.01 entity.n.01; some-not scientist.n.01 entity.n.01
all emblem.n.02 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: all emblem.n.02 entity.n.01; some-not emblem.n.02 entity.n.01
all steroid.n.01 chemical.n.01, all chemical.n.01 substance.n.01: all steroid.n.01 substance.n.01; some-not steroid.n.01 substance.n.01
all expression.n.02 visual_communication.n.01, all visual_communication.n.01 abstraction.n.06: all expression.n.02 abstraction.n.06; some-not expression.n.02 abstraction.n.06
all medicine.n.02 drug.n.01, all drug.n.01 agent.n.03: all medicine.n.02 agent.n.03; some-not medicine.n.02 agent.n.03
all tissue.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all tissue.n.01 entity.n.01; some-not tissue.n.01 entity.n.01
all sculptor.n.01 creator.n.02, all creator.n.02 person.n.01: all sculptor.n.01 person.n.01; some-not sculptor.n.01 person.n.01
all equipment.n.01 instrumentality.n.03, all instrumentality.n.03 physical_entity.n.01: all equipment.n.01 physical_entity.n.01; some-not equipment.n.01 physical_entity.n.01
all southerner.n.01 person.n.01, all person.n.01 entity.n.01: all southerner.n.01 entity.n.01; some-not southerner.n.01 entity.n.01
all advocate.n.01 person.n.01, all person.n.01 physical_entity.n.01: all advocate.n.01 physical_entity.n.01; some-not advocate.n.01 physical_entity.n.01
all liberal.n.01 person.n.01, all person.n.01 physical_entity.n.01: all liberal.n.01 physical_entity.n.01; some-not liberal.n.01 physical_entity.n.01
all narcotic.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all narcotic.n.01 entity.n.01; some-not narcotic.n.01 entity.n.01
all confederate.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all confederate.n.01 entity.n.01; some-not confederate.n.01 entity.n.01
all lover.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all lover.n.01 entity.n.01; some-not lover.n.01 entity.n.01
all speech.n.02 auditory_communication.n.01, all auditory_communication.n.01 communication.n.02: all speech.n.02 communication.n.02; some-not speech.n.02 communication.n.02
all dynasty.n.01 lineage.n.01, all lineage.n.01 genealogy.n.01: all dynasty.n.01 genealogy.n.01; some-not dynasty.n.01 genealogy.n.01
all organism.n.01 object.n.01, all object.n.01 entity.n.01: all organism.n.01 entity.n.01; some-not organism.n.01 entity.n.01
all failure.n.02 event.n.01, all event.n.01 psychological_feature.n.01: all failure.n.02 psychological_feature.n.01; some-not failure.n.02 psychological_feature.n.01
all trouble.n.03 event.n.01, all event.n.01 abstraction.n.06: all trouble.n.03 abstraction.n.06; some-not trouble.n.03 abstraction.n.06
all chordate.n.01 organism.n.01, all organism.n.01 entity.n.01: all chordate.n.01 entity.n.01; some-not chordate.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all person.n.01 entity.n.01; some-not person.n.01 entity.n.01
all manner_of_speaking.n.01 expressive_style.n.01, all expressive_style.n.01 communication.n.02: all manner_of_speaking.n.01 communication.n.02; some-not manner_of_speaking.n.01 communication.n.02
all compound.n.02 chemical.n.01, all chemical.n.01 material.n.01: all compound.n.02 material.n.01; some-not compound.n.02 material.n.01
all body_part.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all body_part.n.01 entity.n.01; some-not body_part.n.01 entity.n.01
all system.n.01 whole.n.02, all whole.n.02 entity.n.01: all system.n.01 entity.n.01; some-not system.n.01 entity.n.01
all organic_compound.n.01 compound.n.02, all compound.n.02 chemical.n.01: all organic_compound.n.01 chemical.n.01; some-not organic_compound.n.01 chemical.n.01
all piece.n.06 creation.n.02, all creation.n.02 entity.n.01: all piece.n.06 entity.n.01; some-not piece.n.06 entity.n.01
all writer.n.01 person.n.01, all person.n.01 entity.n.01: all writer.n.01 entity.n.01; some-not writer.n.01 entity.n.01
all deity.n.01 spiritual_being.n.01, all spiritual_being.n.01 psychological_feature.n.01: all deity.n.01 psychological_feature.n.01; some-not deity.n.01 psychological_feature.n.01
all capitalist.n.02 person.n.01, all person.n.01 entity.n.01: all capitalist.n.02 entity.n.01; some-not capitalist.n.02 entity.n.01
all queen.n.03 aristocrat.n.01, all aristocrat.n.01 person.n.01: all queen.n.03 person.n.01; some-not queen.n.03 person.n.01
